"","date","route","time","day","location","incident","min_delay","min_gap","direction","vehicle"
"1",2021-01-01,320,04:26:00,"Friday","YONGE AND STEELES","Emergency Services",0,0,"N",1553
"2",2021-01-01,63,05:04:00,"Friday","CANNIFF AND STRACHAN","Mechanical",10,0,"N",8144
"3",2021-01-01,42,05:34:00,"Friday","WILSON GARAGE","Mechanical",24,48,"N",8365
"4",2021-01-01,320,05:44:00,"Friday","YONGE AND STEELES","Emergency Services",15,30,"N",8181
"5",2021-01-01,35,06:21:00,"Friday","JANE STATION","Vision",30,60,"E",3186
"6",2021-01-01,29,06:57:00,"Friday","PRINCESS GATE AND NEWF","Security",11,23,NA,9024
"7",2021-01-01,300,07:09:00,"Friday","BLOOR AND ISLINGTON","Vision",12,24,"W",8626
"8",2021-01-01,300,07:21:00,"Friday","DUNDAS AND KIPLING","Security",11,24,"W",8752
"9",2021-01-01,38,07:24:00,"Friday","MALVERN DIVISION","Operations (Operator)",20,36,"W",3440
"10",2021-01-01,29,07:47:00,"Friday","PRINCESS BLVD AND ENER","Investigation",313,317,"N",9152
"11",2021-01-01,320,08:11:00,"Friday","YONGE AND STEELES","Mechanical",10,20,"N",9012
"12",2021-01-01,85,08:15:00,"Friday","SHEPPARD AND MCCOWAN","Mechanical",20,40,"E",3455
"13",2021-01-01,85,08:33:00,"Friday","MALVERN DIVISION","Operations (Operator)",24,48,"E",3429
"14",2021-01-01,900,09:50:00,"Friday","KIPLING STATION","Mechanical",8,16,"S",8004
"15",2021-01-01,29,10:29:00,"Friday","DUFFERIN AND BLOOR","Mechanical",8,15,"S",9051
"16",2021-01-01,63,10:42:00,"Friday","EGLINTON WEST STATION","Vision",8,16,NA,8330
"17",2021-01-01,36,10:55:00,"Friday","FINCH WEST STATION","Vision",6,12,"W",3232
"18",2021-01-01,25,11:25:00,"Friday","DON MILLS AND FRESHMEA","Cleaning",10,20,"N",8737
"19",2021-01-01,106,11:29:00,"Friday","SHEPPARD AND KEELE","Collision (NON-TTC)",15,30,"E",8321
"20",2021-01-01,32,11:35:00,"Friday","KEELE AND EGLINTON","Mechanical",10,20,"S",1081
"21",2021-01-01,106,11:45:00,"Friday","SHEPPARD AND KEELE","Collision (NON-TTC)",705,721,"B",8190
"22",2021-01-01,106,11:45:00,"Friday","SHEPPARD AND KEELE","Collision (NON-TTC)",705,721,"W",8190
"23",2021-01-01,95,11:50:00,"Friday","U OF T SCARBOROUGH LOO","Operations (Operator)",21,42,"E",1232
"24",2021-01-01,84,11:51:00,"Friday","SHEPPARD AND KEELE","Collision (NON-TTC)",666,674,"B",3178
"25",2021-01-01,63,12:06:00,"Friday","WILSON GARAGE","Mechanical",7,14,"W",8391
"26",2021-01-01,108,12:10:00,"Friday","SHEPPARD AND KEELE","Collision (NON-TTC)",666,676,"B",3279
"27",2021-01-01,52,12:13:00,"Friday","ISLINGTON AND DIXON","Investigation",10,20,"E",1351
"28",2021-01-01,41,12:14:00,"Friday","KEELE AND SHEPPARD","Collision (NON-TTC)",844,855,"B",1065
"29",2021-01-01,133,12:30:00,"Friday","SCARBOROUGH CENTRE STA","Cleaning",10,20,"N",3535
"30",2021-01-01,62,12:45:00,"Friday","BROADVIEW STATION","Mechanical",15,30,"E",8575
"31",2021-01-01,131,12:46:00,"Friday","SCARBOROUGH CENTRE STA","Operations (Operator)",24,48,"E",0
"32",2021-01-01,129,12:56:00,"Friday","SCARBOROUGH CENTRE STA","Operations (Operator)",46,91,"N",3463
"33",2021-01-01,133,13:00:00,"Friday","SCARBOROUGH CENTRE STA","Cleaning",10,20,"S",3544
"34",2021-01-01,60,13:24:00,"Friday","PIONEER VILLAGE STATIO","Mechanical",5,10,"W",3326
"35",2021-01-01,133,13:50:00,"Friday","MORNINGSIDE AND FINCH","Cleaning",10,20,"N",1209
"36",2021-01-01,36,13:50:00,"Friday","FINCH AND ARROW","Mechanical",6,12,"W",3264
"37",2021-01-01,126,14:01:00,"Friday","ST CLAIR WEST STATION","Collision (TTC)",30,60,"S",1048
"38",2021-01-01,20,14:02:00,"Friday","MIDLAND AND PARK","Mechanical",24,48,"W",8531
